Silhouette Score,Labels
0.4134034898747432,0
0.552116178401095,1
0.6342083689371902,1
0.6567199918106114,1
0.5806587774375956,2
0.3366661847388382,2
0.5377015419659328,2
0.6310108090625753,2
0.6881083121961997,1
0.06780943851369556,2
0.26143596743482517,2
0.40246650106004445,1
0.3103184933756845,2
0.5963953660599289,0
0.31450553537699905,0
0.5652970943929345,0
0.5124939073927959,0
0.6102296746676379,1
0.4296895763093716,2
0.5945841742066957,2
0.6391689851653044,1
0.3611516361901396,0
0.47653231182673644,2
0.36603326255035773,2
0.6475167850178306,1
0.4939171016485385,2
